amount,amount_log,threshold_proximity,amount_roundness,is_near_threshold,exceeds_atm_daily,exceeds_tier1_daily,hour_of_day,is_late_night,is_weekend,inter_txn_interval_seconds,daily_txn_count,hourly_txn_count,daily_velocity,amount_vs_customer_mean,amount_zscore,channel_consistency,hour_consistency,sum_1h,sum_24h,sum_7d,count_1h,count_24h,cross_account_sum_24h,cross_account_threshold_ratio,cross_account_sum_6h,cross_account_ratio_6h,max_single_24h,cov_24h,accounts_per_customer,account_age_days,unique_counterparties_24h,tier_numeric,channel_numeric,type_numeric,is_suspicious,suspicious_typology,transaction_id,account_id,customer_id
500,6.2166061010848646,0.0001,1.0,0,0,0,10,0,0,-21912.0,2,2,0.08333333333333333,0.027574370835580647,-1.0,0,0,36265.56,36265.56,36265.56,2,2,36265.56,0.007253112,36265.56,0.007253112,35765.56,0.9724256291644193,2,-1,2,1,1,3,0,normal,TXN-4421C4DD,ACC-1006,CUST-2005
500,6.2166061010848646,0.0001,1.0,0,0,0,8,0,0,-7591.0,3,3,0.125,0.0407990521564203,-0.7071067811865477,1,0,36765.56,36765.56,36765.56,3,3,36765.56,0.007353111999999999,36765.56,0.007353111999999999,35765.56,1.356514989481518,2,-1,2,1,3,3,0,normal,TXN-4D651A85,ACC-1007,CUST-2005
200,5.303304908059076,4e-05,1.0,0,0,0,21,0,0,-4831.0,2,2,0.08333333333333333,0.0021367047685641586,-1.0,1,1,187204.15,187204.15,187204.15,2,2,187204.15,0.03744083,187204.15,0.03744083,187004.15,0.9978632952314358,1,-1,1,1,1,3,0,normal,TXN-812174C1,ACC-1016,CUST-2012
35204.23,10.468949930094796,0.007040846000000001,0.9998798439846575,0,0,1,7,0,0,-6113.0,2,2,0.08333333333333333,1.971992114099646,1.0,1,1,35704.23,35704.23,35704.23,2,2,35704.23,0.007140846000000001,35704.23,0.007140846000000001,35204.23,0.9719921140996459,1,-1,1,1,1,0,0,normal,TXN-E6903985,ACC-1001,CUST-2001
6600.0,8.79497643168877,0.00132,1.0,0,0,0,8,0,0,-28618.0,3,3,0.125,0.2940915667460862,-0.9522884878362897,1,0,67325.97,67325.97,67325.97,3,3,67325.97,0.013465194,67325.97,0.013465194,45425.97,0.7412758237346961,1,-1,1,2,3,2,0,normal,TXN-DAE8B78D,ACC-1005,CUST-2004
19943.15,9.900691146234076,0.00398863,0.9978363498243757,0,0,0,18,0,0,39374.0,3,1,0.125,1.0751530440426846,0.0981555079224845,1,0,19943.15,55647.380000000005,55647.380000000005,1,3,55647.380000000005,0.011129476000000001,19943.15,0.00398863,35204.23,0.7656528465222198,2,0,2,1,1,1,0,normal,TXN-4CB6BAEC,ACC-1002,CUST-2001
41931.75,10.643822423513816,0.00838635,0.9992428171969927,0,0,0,15,0,0,-5903.0,3,3,0.125,1.6342835487689664,1.353446986984744,1,1,76972.72,76972.72,76972.72,3,3,76972.72,0.015394544,76972.72,0.015394544,41931.75,0.46864306830520586,1,-1,1,2,1,0,0,normal,TXN-90C55DE1,ACC-1013,CUST-2010
171704.99,12.05353893270687,0.034340998,0.9999709385265974,0,0,1,10,0,0,-9017.0,3,3,0.125,2.9965096999220324,1.414213562373095,0,0,171904.99,171904.99,171904.99,3,3,171904.99,0.034380997999999996,171904.99,0.034380997999999996,171704.99,1.4117455475195884,1,-1,1,1,1,1,0,normal,TXN-C33CF037,ACC-1014,CUST-2011
2000,7.601402334583733,0.0004,1.0,0,0,0,13,0,0,17170.0,4,2,0.16666666666666666,0.20636874586617607,-0.5105002289154602,0,0,37765.56,38765.56,38765.56,2,4,38765.56,0.0077531119999999995,38765.56,0.0077531119999999995,35765.56,1.5546148839538536,2,-1,2,1,1,3,0,normal,TXN-25F95A5F,ACC-1006,CUST-2005
5740.0,8.655388690167637,0.001148,0.9930313588850174,0,0,0,16,0,0,-5484.0,3,2,0.125,0.8266922707633222,-0.19866069925473395,0,0,5940.0,20830.0,20830.0,2,3,20830.0,0.004166,5940.0,0.001188,14890.0,0.8723805457588413,1,0,1,1,3,2,0,normal,TXN-D7D4394F,ACC-1004,CUST-2003
19580.24,9.882327244007744,0.003916048,0.9989908193158001,0,0,0,19,0,0,31332.0,4,2,0.16666666666666666,0.40901828302893134,-0.39327909381959497,0,1,19680.24,191485.22999999998,191485.22999999998,2,4,191485.22999999998,0.038297045999999994,19680.24,0.003936048,171704.99,1.5027031089584535,2,-1,2,1,2,0,0,normal,TXN-5FAE4662,ACC-1015,CUST-2011
500,6.2166061010848646,0.0001,1.0,0,0,0,20,0,0,25327.0,2,1,0.08333333333333333,1.0,0.0,0,0,500,1000,1000,1,2,1000,0.0002,500,0.0001,500,0.0,1,0,1,2,1,3,0,normal,TXN-471708FE,ACC-1009,CUST-2006
25363.2,10.141094009980444,0.00507264,0.9985490789805703,0,0,0,16,0,0,18047.0,2,1,0.08333333333333333,0.697975273988153,-0.9999999999999999,1,0,25363.2,72676.5,72676.5,1,2,72676.5,0.0145353,72676.5,0.0145353,47313.3,0.30202472601184704,1,0,1,1,3,1,0,normal,TXN-95EBD29C,ACC-1003,CUST-2002
10710.0,9.27902652976463,0.002142,0.9990662931839402,0,0,0,19,0,0,2523.0,4,2,0.16666666666666666,0.6455951093909976,-0.4607901515659425,1,0,30653.15,66357.38,66357.38,2,4,66357.38,0.013271476,30653.15,0.006130630000000001,35204.23,0.7691242736082748,2,0,2,1,1,2,0,normal,TXN-F71DAD51,ACC-1002,CUST-2001
29915.81,10.30617580875729,0.005983162,0.999471516900261,0,0,0,17,0,0,31420.0,4,2,0.16666666666666666,1.2305743477752054,0.3796141657272088,1,1,45215.81,97241.78,97241.78,2,4,97241.78,0.019448356,90641.78,0.018128355999999998,45425.97,0.607391316215782,1,0,1,2,3,0,0,normal,TXN-BEC72E2C,ACC-1005,CUST-2004
88131.33,11.386594713960495,0.017626266,0.9996445078044323,0,0,1,21,0,0,21405.0,2,1,0.08333333333333333,1.9775612009828643,1.0,0,0,88131.33,89131.33,89131.33,1,2,89131.33,0.017826266,89131.33,0.017826266,88131.33,0.9775612009828643,1,0,1,1,2,1,0,normal,TXN-94BCC8DD,ACC-1012,CUST-2009
500,6.2166061010848646,0.0001,1.0,0,0,0,17,0,0,-1,1,1,0.041666666666666664,1.0,0.0,1,1,500,500,500,1,1,500,0.0001,500,0.0001,500,0,1,0,1,3,3,3,0,normal,TXN-11B45EB0,ACC-1019,CUST-2015
124220.07,11.729818079825995,0.024844014,0.9998384319055689,0,0,0,7,0,0,-1,1,1,0.041666666666666664,1.0,0.0,1,1,124220.07,124220.07,124220.07,1,1,124220.07,0.024844014,124220.07,0.024844014,124220.07,0,1,0,1,2,1,0,0,normal,TXN-17149BBC,ACC-1017,CUST-2013
76982.65,11.25134834062665,0.015396529999999999,0.9997746245420234,0,0,0,1,1,0,-1,1,1,0.041666666666666664,1.0,0.0,1,1,76982.65,76982.65,76982.65,1,1,76982.65,0.015396529999999999,76982.65,0.015396529999999999,76982.65,0,1,0,1,2,0,0,1,late_night_high_value,TXN-837488C4,ACC-1000,CUST-2000
27588.52,10.225191269452163,0.005517704,0.9995838848912519,0,0,0,15,0,0,8120.0,5,2,0.20833333333333334,2.078886482941215,0.9382945378799327,1,1,63354.08,66354.08,66354.08,2,5,66354.08,0.013270816,65854.08,0.013170816,35765.56,1.149837752843524,2,-1,2,1,1,0,0,normal,TXN-23B4AB56,ACC-1007,CUST-2005
16400.0,9.70509758756311,0.00328,1.0,0,0,0,23,0,0,15124.0,5,1,0.20833333333333334,0.9908481877990819,-0.013272829451542624,1,0,16400.0,82757.38,82757.38,1,5,82757.38,0.016551476000000002,47053.15,0.00941063,35204.23,0.689514789166103,2,0,2,1,1,2,0,normal,TXN-580CC048,ACC-1001,CUST-2001
257137.07,12.457368456971121,0.051427414000000005,0.99985583564439,0,1,1,11,0,0,-1,1,1,0.041666666666666664,1.0,0.0,1,1,257137.07,257137.07,257137.07,1,1,257137.07,0.051427414000000005,257137.07,0.051427414000000005,257137.07,0,1,0,1,1,0,0,1,atm_breach_clear,TXN-429BC958,ACC-1011,CUST-2008
200,5.303304908059076,4e-05,1.0,0,0,0,9,0,0,-22673.0,6,6,0.25,0.0180304498236622,-0.7381177035958258,1,0,66554.08,66554.08,66554.08,6,6,66554.08,0.013310816,66554.08,0.013310816,35765.56,1.3303698656631042,3,-1,3,1,3,3,0,normal,TXN-95E04DBB,ACC-1008,CUST-2005
1000,6.90875477931522,0.0002,1.0,0,0,0,16,0,0,-6475.0,2,2,0.08333333333333333,0.016757007885428984,-1.0,0,1,119353.05,119353.05,119353.05,2,2,119353.05,0.02387061,119353.05,0.02387061,118353.05,0.983242992114571,1,-1,1,2,1,3,0,normal,TXN-157CBFE2,ACC-1020,CUST-2016
100,4.61512051684126,2e-05,1.0,0,0,0,12,0,0,2621.0,2,2,0.08333333333333333,0.0007774929173310829,-1.0,0,1,257237.07,257237.07,257237.07,2,2,257237.07,0.051447414000000004,257237.07,0.051447414000000004,257137.07,0.9992225070826689,1,0,1,1,3,3,0,normal,TXN-4A893388,ACC-1011,CUST-2008
200,5.303304908059076,4e-05,1.0,0,0,0,17,0,0,-1,1,1,0.041666666666666664,1.0,0.0,1,1,200,200,200,1,1,200,4e-05,200,4e-05,200,0,1,0,1,2,1,3,0,normal,TXN-FE48267D,ACC-1018,CUST-2014
6670.0,8.805525052709516,0.001334,0.9955022488755623,0,0,0,6,0,0,-63321.0,6,6,0.25,0.44751394930724797,-0.7452200357932894,0,0,89427.38,89427.38,89427.38,6,6,89427.38,0.017885476,89427.38,0.017885476,35204.23,0.7413730497793564,2,-1,2,1,3,2,0,normal,TXN-D99F45B7,ACC-1001,CUST-2001
1282269.04,14.064142533906926,0.256453808,0.9999758553010061,0,0,1,11,0,0,-39516.612956,3,3,0.125,2.8050212061704487,1.4115926457892503,1,0,1371400.37,1371400.37,1371400.37,3,3,1371400.37,0.27428007400000004,1371400.37,0.27428007400000004,1282269.04,1.2787125319438204,1,-1,1,1,2,1,1,structuring_medium,TXN-0F6A0C7B,ACC-1012,CUST-2009
1386898.24,14.142581050659562,0.277379648,0.9999987309811569,0,0,1,14,0,0,13194.871061,4,3,0.16666666666666666,2.011237267744553,1.0781083261262305,0,1,1476029.57,2758298.6100000003,2758298.6100000003,3,4,2758298.6100000003,0.551659722,2758298.6100000003,0.551659722,1386898.24,0.9379737112114209,1,-1,1,1,1,1,1,structuring_medium,TXN-1B10EDEC,ACC-1012,CUST-2009
1589152.1,14.2787117907831,0.31783042,0.9999698581400737,0,0,1,12,0,0,-7593.91464,5,4,0.20833333333333334,1.8276827110939224,1.0563162919441607,0,0,3065181.67,4347450.710000001,4347450.710000001,4,5,4347450.710000001,0.8694901420000002,4347450.710000001,0.8694901420000002,1589152.1,0.783555756364,1,-1,1,1,3,1,1,structuring_medium,TXN-1078A374,ACC-1012,CUST-2009
826846.41,13.625375446703599,0.165369282,0.9999438710751614,0,0,1,19,0,0,26146.116028,6,2,0.25,0.9587927297070252,-0.0571200095007313,1,0,914977.74,5174297.120000001,5174297.120000001,2,6,5174297.120000001,1.0348594240000002,2302875.98,0.460575196,1589152.1,0.7214156764530506,1,0,1,1,2,1,1,structuring_medium,TXN-F6D530D9,ACC-1012,CUST-2009
1403980.87,14.154822950379106,0.280796174,0.9999863744582219,0,0,1,19,0,0,-88118.190877,7,7,0.2916666666666667,1.4939876522305497,0.7655901507028343,0,1,6578277.990000001,6578277.990000001,6578277.990000001,7,7,6578277.990000001,1.3156555980000002,6578277.990000001,1.3156555980000002,1589152.1,0.6452377316728206,1,-1,1,1,1,1,1,structuring_medium,TXN-F5EDB1B0,ACC-1012,CUST-2009
1205525.32,14.002426809629226,0.241105064,0.9999789967082565,0,0,1,9,0,0,-36086.579987,8,8,0.3333333333333333,1.2390090262956552,0.4051588493522819,0,0,7783803.310000001,7783803.310000001,7783803.310000001,8,8,7783803.310000001,1.5567606620000003,7783803.310000001,1.5567606620000003,1589152.1,0.5899143673592555,1,-2,1,1,3,1,1,structuring_medium,TXN-26D29254,ACC-1012,CUST-2009
100000,11.51293546492023,0.02,1.0,0,0,1,17,0,0,-15556.0,3,3,0.125,1.0445531514777902,0.05588530584547327,0,0,287204.15,287204.15,287204.15,3,3,287204.15,0.057440830000000005,287204.15,0.057440830000000005,187004.15,0.7972247946711204,1,-1,1,1,3,1,1,round_amount_pattern,TXN-53915E78,ACC-1016,CUST-2012
200000,12.206077645517674,0.04,1.0,0,0,1,11,0,0,-21890.257797,4,4,0.16666666666666666,1.6420221379477165,0.9769410666346391,0,0,487204.15,487204.15,487204.15,4,4,487204.15,0.09744083,487204.15,0.09744083,200000,0.6571759135475291,1,-1,1,1,3,1,1,round_amount_pattern,TXN-0678540E,ACC-1016,CUST-2012
150000,11.918397239722838,0.03,1.0,0,0,1,22,0,0,42342.954562,5,2,0.20833333333333334,1.1770168163531263,0.31125859174818177,1,1,337004.15,637204.15,637204.15,2,5,637204.15,0.12744083,437204.15,0.08744083000000001,200000,0.5687130284787084,1,0,1,1,1,1,1,round_amount_pattern,TXN-A737BBE8,ACC-1016,CUST-2012
23520.35,10.065663798324547,0.004704069999999999,0.999134791786687,0,0,0,21,0,0,17333.0,2,1,0.08333333333333333,1.9831368424159004,1.0,0,0,23520.35,23720.35,23720.35,1,2,23720.35,0.0047440699999999995,23720.35,0.0047440699999999995,23520.35,0.9831368424159003,1,0,1,2,3,0,0,normal,TXN-7A284046,ACC-1018,CUST-2014
3170.0,8.061802274538348,0.000634,0.9905362776025236,0,0,0,20,0,0,13546.0,2,1,0.08333333333333333,1.7275204359673024,1.0,1,0,3170.0,3670.0,3670.0,1,2,3670.0,0.000734,3670.0,0.000734,3170.0,0.7275204359673024,1,0,1,3,3,2,0,normal,TXN-3BB51CEB,ACC-1019,CUST-2015
100,4.61512051684126,2e-05,1.0,0,0,0,20,0,0,-3296.0,3,2,0.125,0.012594273383892345,-0.7116403815796977,1,0,23620.35,23820.35,23820.35,2,3,23820.35,0.00476407,23820.35,0.00476407,23520.35,1.387506600488672,1,0,1,2,3,3,0,normal,TXN-724B3228,ACC-1018,CUST-2014
2000,7.601402334583733,0.0004,1.0,0,0,0,9,0,0,30493.84455,2,1,0.08333333333333333,0.05064403384794003,-1.0,0,0,2000,78982.65,78982.65,1,2,78982.65,0.01579653,2000,0.0004,76982.65,0.94935596615206,1,0,1,2,3,3,0,normal,TXN-797CE9FD,ACC-1000,CUST-2000
3880.0,8.263848131368906,0.000776,0.9948453608247423,0,0,0,8,0,0,-2785.0,7,7,0.2916666666666667,0.3856087848382488,-0.444960027236852,1,1,70434.08,70434.08,70434.08,7,7,70434.08,0.014086816,70434.08,0.014086816,35765.56,1.3807784464978718,3,-1,3,1,1,2,0,normal,TXN-5312A59D,ACC-1007,CUST-2005
11840.0,9.379323364330956,0.002368,0.9966216216216216,0,0,0,20,0,0,-859.0,4,3,0.16666666666666666,1.3280856749863645,0.30187149332505797,1,1,35460.35,35660.35,35660.35,3,4,35660.35,0.00713207,35660.35,0.00713207,23520.35,1.0868388776050437,1,0,1,2,1,2,0,normal,TXN-507F721B,ACC-1018,CUST-2014
100,4.61512051684126,2e-05,1.0,0,0,0,15,0,0,-1,1,1,0.041666666666666664,1.0,0.0,1,1,100,100,100,1,1,100,2e-05,100,2e-05,100,0,1,0,1,3,2,3,0,normal,TXN-9F0D2A44,ACC-1021,CUST-2017
81077.49,11.303172976810867,0.016215498000000002,0.9997223643701847,0,0,1,12,0,0,97443.311371,8,6,0.3333333333333333,0.0927792077916807,-1.3008840693302173,1,1,3973105.5700000003,6659355.480000001,7864880.800000002,6,8,6659355.480000001,1.3318710960000002,5255374.610000001,1.0510749220000002,1589152.1,0.7620211284348473,1,-1,1,1,2,0,0,normal,TXN-744ECA48,ACC-1012,CUST-2009
500,6.2166061010848646,0.0001,1.0,0,0,0,9,0,0,-49591.696765,6,6,0.25,0.004704375845758569,-1.3005837466621615,0,0,637704.15,637704.15,637704.15,6,6,637704.15,0.12754083,637704.15,0.12754083,200000,0.7652683856065277,1,-1,1,1,0,3,0,normal,TXN-6A191223,ACC-1016,CUST-2012
27038.85,10.205066982804235,0.00540777,0.9985631785375488,0,0,0,5,0,0,-497.0,7,7,0.2916666666666667,1.6251230077594165,0.93901026399317,0,0,116466.23000000001,116466.23000000001,116466.23000000001,7,7,116466.23000000001,0.023293246000000004,116466.23000000001,0.023293246000000004,35204.23,0.6657254257275758,2,-1,2,1,3,0,0,normal,TXN-F8663533,ACC-1001,CUST-2001
33923.66,10.431897462545258,0.006784732000000001,0.9993025516704269,0,0,0,9,0,0,-20243.0,4,4,0.16666666666666666,1.2236164967693266,0.563019283792465,0,0,110896.38,110896.38,110896.38,4,4,110896.38,0.022179276,110896.38,0.022179276,41931.75,0.3971737793118894,1,-1,1,2,3,0,0,normal,TXN-D73E515E,ACC-1013,CUST-2010
200,5.303304908059076,4e-05,1.0,0,0,0,5,0,0,-1,1,1,0.041666666666666664,1.0,0.0,1,1,200,200,200,1,1,200,4e-05,200,4e-05,200,0,1,0,1,2,3,3,0,normal,TXN-8CEBD1F4,ACC-1010,CUST-2007
30379.17,10.32154537192081,0.006075834,0.9993143328142275,0,0,1,12,0,0,13451.0,8,4,0.3333333333333333,2.4107283516799627,1.2151123349416808,1,0,95733.25,100813.25,100813.25,4,8,100813.25,0.02016265,100813.25,0.02016265,35765.56,1.1609859525849273,3,-1,3,1,1,1,0,normal,TXN-35098B72,ACC-1007,CUST-2005
7680.0,8.946505025998682,0.001536,0.9973958333333334,0,0,0,13,0,0,-5819.0,2,2,0.08333333333333333,1.974293059125964,1.0,1,1,7780.0,7780.0,7780.0,2,2,7780.0,0.001556,7780.0,0.001556,7680.0,0.974293059125964,2,-1,2,3,2,2,0,normal,TXN-D832111B,ACC-1022,CUST-2017
3180.0,8.064950891749143,0.000636,0.9937106918238994,0,0,0,19,0,0,24196.0,9,1,0.375,0.2752101698908343,-0.5936277073282836,0,0,3180.0,103993.25,103993.25,1,9,103993.25,0.02079865,68534.08,0.013706816,35765.56,1.2209501361909103,3,0,3,1,3,2,0,normal,TXN-3100D066,ACC-1006,CUST-2005
8340.0,9.028938392241612,0.001668,0.9952038369304557,0,0,0,19,0,0,34657.0,3,1,0.125,0.28652359954719653,-0.6116808479455771,1,0,8340.0,87322.65,87322.65,1,3,87322.65,0.01746453,8340.0,0.001668,76982.65,1.1664193882301894,1,0,1,2,3,2,0,normal,TXN-E25F89C4,ACC-1000,CUST-2000
9440.34,9.152853198218262,0.0018880680000000001,0.995726848821123,0,0,0,16,0,0,3404.0,4,3,0.16666666666666666,1.2474706263623072,0.34965643398874646,0,1,15380.34,30270.34,30270.34,3,4,30270.34,0.006054068,15380.34,0.003076068,14890.0,0.7077536756274071,1,0,1,1,3,1,0,normal,TXN-DCB5CC74,ACC-1004,CUST-2003
81607.09,11.309683678194803,0.016321418,0.9999131202938373,0,0,0,9,0,0,-37814.0,3,3,0.125,2.96368350464833,1.414213562373095,1,0,82607.09,82607.09,82607.09,3,3,82607.09,0.016521418,82607.09,0.016521418,81607.09,1.3885339222409994,1,-1,1,2,0,1,0,normal,TXN-5425AEAB,ACC-1009,CUST-2006
200,5.303304908059076,4e-05,1.0,0,0,0,17,0,0,3953.0,3,1,0.125,0.008233106694201834,-1.2516173003596924,0,0,200,72876.5,72876.5,1,3,72876.5,0.0145753,25563.2,0.00511264,47313.3,0.792388290750521,1,0,1,1,1,3,0,normal,TXN-37D1E66E,ACC-1003,CUST-2002
88462.21,11.39034203835155,0.017692442000000003,0.9995728119385668,0,0,0,6,0,0,-11416.0,4,4,0.16666666666666666,2.0684531941149,1.0793194875980827,0,0,171069.3,171069.3,171069.3,4,4,171069.3,0.03421386,171069.3,0.03421386,88462.21,0.9899322734296546,1,-1,1,2,2,0,0,normal,TXN-7D60BD35,ACC-1009,CUST-2006
65606.49,11.091445145243771,0.013121298000000002,0.9999010768599265,0,0,0,15,0,0,-18787.0,5,5,0.20833333333333334,3.239287905102994,1.8682165688909012,1,0,101266.84,101266.84,101266.84,5,5,101266.84,0.020253368,101266.84,0.020253368,65606.49,1.198623297957573,1,-1,1,2,1,1,0,normal,TXN-61B98C49,ACC-1018,CUST-2014
8420.0,9.038483865029992,0.001684,0.997624703087886,0,0,0,17,0,0,-5716.0,4,2,0.16666666666666666,0.3517763504561447,-0.5047835242667359,0,0,16760.0,95742.65,95742.65,2,4,95742.65,0.01914853,16760.0,0.003352,76982.65,1.2841616621411822,1,0,1,2,1,2,0,normal,TXN-AED0BD83,ACC-1000,CUST-2000
67691.63,11.122732590345153,0.013538326000000002,0.9998763510348326,0,0,0,20,0,0,24234.0,3,1,0.125,2.6907447208971105,1.406786969233747,0,0,67691.63,75471.63,75471.63,1,3,75471.63,0.015094326000000002,67791.63,0.013558326,67691.63,1.2018484375200251,2,0,2,3,1,0,0,normal,TXN-5FEE98A9,ACC-1021,CUST-2017
3980.0,8.289288323000317,0.000796,0.9949748743718593,0,0,0,20,0,0,53346.0,2,1,0.08333333333333333,1.9043062200956937,1.0,0,0,3980.0,4180.0,4180.0,1,2,4180.0,0.000836,3980.0,0.000796,3980.0,0.9043062200956937,1,0,1,2,1,2,0,normal,TXN-49419D8A,ACC-1010,CUST-2007
2000,7.601402334583733,0.0004,1.0,0,0,0,12,0,0,-24104.0,5,4,0.20833333333333334,0.05168353160600425,-0.548478801437441,1,1,21780.24,193485.22999999998,193485.22999999998,4,5,193485.22999999998,0.038697046,193485.22999999998,0.038697046,171704.99,1.728993838793166,2,-1,2,1,0,3,0,normal,TXN-4756F98B,ACC-1015,CUST-2011
86383.78,11.366566781867201,0.017276756,0.9998122332687919,0,0,1,21,0,0,43525.0,7,4,0.2916666666666667,0.8351008695863774,-0.22555588788417788,1,1,423587.93000000005,724087.93,724087.93,4,7,724087.93,0.144817586,523587.93000000005,0.10471758600000002,200000,0.7310788113777712,1,-1,1,1,1,1,0,normal,TXN-DA3DD6DC,ACC-1016,CUST-2012
12100.0,9.401043372798053,0.00242,1.0,0,0,0,11,0,0,-18617.0,5,4,0.20833333333333334,1.4278856388690768,0.7078967019279766,1,0,27480.34,42370.34,42370.34,4,5,42370.34,0.008474068,42370.34,0.008474068,14890.0,0.604446436469782,1,0,1,1,3,2,0,normal,TXN-5BB7762F,ACC-1004,CUST-2003
3980.0,8.289288323000317,0.000796,0.9949748743718593,0,0,0,8,0,0,-15108.0,3,3,0.125,0.04570911081729842,-0.6909143136959555,1,0,261217.07,261217.07,261217.07,3,3,261217.07,0.052243414,261217.07,0.052243414,257137.07,1.3812000566001414,1,-1,1,1,3,2,0,normal,TXN-65DBBCD9,ACC-1011,CUST-2008
